,User Name,Time Stamp,Text of Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
0,BBCWorld,Thu Nov 07 20:42:07 +0000 2019,"Chris Brown's yard sale makes people angry 

[Tap to expand] https://t.co/kiFDC6HqSe https://t.co/pKvHaPYEyM",-0.5106,0.0,0.769,0.231
1,BBCWorld,Thu Nov 07 19:56:26 +0000 2019,Hawaii man dies after falling down lava tube in his garden https://t.co/LPLkdmJXcq,-0.1531,0.0,0.873,0.127
2,BBCWorld,Thu Nov 07 18:19:33 +0000 2019,Bolivia mayor has hair forcibly cut by crowd of protesters https://t.co/bvjEoqgy5o,-0.4588,0.0,0.692,0.308
3,BBCWorld,Thu Nov 07 18:12:10 +0000 2019,What is defence alliance Nato? https://t.co/yAFun4uv1t,0.1027,0.219,0.781,0.0
4,BBCWorld,Thu Nov 07 18:11:49 +0000 2019,RT @BBCSport: Sonny Bill Williams has completed his cross-code return to rugby league after signing for Super League newcomers Toronto Wolf…,0.5994,0.163,0.837,0.0
5,BBCWorld,Thu Nov 07 17:52:42 +0000 2019,"RT @BBCNews: Bloodhound's ultimate quest to break the land speed record

[tap to expand]

https://t.co/dhnE1hYpI9 https://t.co/UCcMTwT8sO",0.0,0.0,1.0,0.0
6,BBCWorld,Thu Nov 07 17:18:43 +0000 2019,"Eggstraordinary!

https://t.co/HbAoAXpRCD",0.0,0.0,1.0,0.0
7,BBCWorld,Thu Nov 07 16:55:38 +0000 2019,RT @BBCNews: Harry and Meghan visit military mums and dads and reveal baby Archie has got his first two teeth and is beginning to crawl 🚼…,0.0,0.0,1.0,0.0
8,BBCWorld,Thu Nov 07 16:19:26 +0000 2019,David Noakes: Unlicensed cancer cure seller to be extradited https://t.co/aVtpjZC1Hl,-0.6597,0.0,0.672,0.328
9,BBCWorld,Thu Nov 07 15:44:59 +0000 2019,RT @BBCNorthAmerica: Jeff Sessions: The ex-attorney general 'making a political comeback' https://t.co/2svgFPs9Zw,0.0,0.0,1.0,0.0
10,BBCWorld,Thu Nov 07 15:44:48 +0000 2019,Egypt-Ethiopia row over River Nile dam https://t.co/D0kDa8hKE7,0.0,0.0,1.0,0.0
11,BBCWorld,Thu Nov 07 15:40:49 +0000 2019,"RT @BBCBusiness: ""Influencer is a job description… it's what people want to be when they grow up""

What does it take to become an influence…",0.0772,0.053,0.947,0.0
12,BBCWorld,Thu Nov 07 15:15:53 +0000 2019,"Nato alliance experiencing brain death, says Macron https://t.co/FVTUU6sGIq",-0.5994,0.0,0.642,0.358
13,BBCWorld,Thu Nov 07 15:15:08 +0000 2019,Trump denies asking attorney general to clear him of wrongdoing over phone call with Ukraine's president at the hea… https://t.co/WTtD4MwwTx,-0.0516,0.111,0.769,0.12
14,BBCWorld,Thu Nov 07 14:42:51 +0000 2019,Cyprus strips 'golden' passports from 26 investors https://t.co/VkFGcIOUTY,0.0,0.0,1.0,0.0
15,BBCWorld,Thu Nov 07 14:13:45 +0000 2019,Milwaukee man charged with hate crime over acid attack over parking spot https://t.co/9QuT6K2OpX,-0.9022,0.0,0.427,0.573
16,BBCWorld,Thu Nov 07 14:11:11 +0000 2019,"89-year-old Holocaust survivor in Italy assigned police guards after receiving hundreds of threats on social media
https://t.co/V7CDtwdulJ",-0.0772,0.123,0.739,0.138
17,BBCWorld,Thu Nov 07 13:48:25 +0000 2019,Bill Gates criticises Elizabeth Warren's plan for tax on super-rich https://t.co/DBy4F5g21g,-0.3182,0.0,0.813,0.187
18,BBCWorld,Thu Nov 07 13:43:08 +0000 2019,"Vehicles seized in anti-smuggling raids near the Irish border
https://t.co/NQcZiYmG5I",0.0,0.0,1.0,0.0
19,BBCWorld,Thu Nov 07 13:28:41 +0000 2019,Bolivia mayor has hair forcibly cut by crowd of protesters https://t.co/zo5ldf3n7r,-0.4588,0.0,0.692,0.308
20,BBCWorld,Thu Nov 07 13:12:09 +0000 2019,"RT @BBCSounds: ""You gave up the ultimate white male supremacy.""

@Caitlyn_Jenner talks about how her transition has been received. 

Listen…",0.0,0.0,1.0,0.0
21,BBCWorld,Thu Nov 07 13:10:17 +0000 2019,"Lebanon has been rocked by anti-government protests, the largest the country has seen in more than a decade

https://t.co/qa9UnQIj5p",-0.2263,0.0,0.899,0.101
22,BBCWorld,Thu Nov 07 13:08:55 +0000 2019,Jersey gorilla statues raise £1.1m for new zoo enclosure https://t.co/Bjt4bpd4hH,0.0,0.0,1.0,0.0
23,BBCWorld,Thu Nov 07 12:59:59 +0000 2019,Italy Holocaust survivor Liliana Segre under guard amid death threats https://t.co/pRI3Cnq6IQ,-0.6369,0.145,0.465,0.39
24,BBCWorld,Thu Nov 07 12:59:38 +0000 2019,Human-built woolly mammoth traps found in Tultepec https://t.co/bVWYzZrLfw,0.0,0.0,1.0,0.0
25,BBCWorld,Thu Nov 07 12:58:53 +0000 2019,DR Congo's Bosco Ntaganda sentenced to 30 years for crimes in DR Congo https://t.co/JPtbGpPudX,-0.0258,0.0,0.922,0.078
26,BBCWorld,Thu Nov 07 11:47:53 +0000 2019,Nigeria's Lagos governor says 'don't call me Your Excellency' https://t.co/qcO5TiM0vm,0.5423,0.28,0.72,0.0
27,BBCWorld,Thu Nov 07 11:26:03 +0000 2019,RT @BBCSteveR: “We’re winning on all fronts” declares one Russian newspaper today. But other papers here quote results of a new poll that f…,0.296,0.091,0.909,0.0
28,BBCWorld,Thu Nov 07 11:14:49 +0000 2019,Europe migrant crisis: French police clear Paris ring road camps https://t.co/LTGqTl4XLl,-0.3612,0.166,0.573,0.261
29,BBCWorld,Thu Nov 07 11:14:41 +0000 2019,Mystery of Napoleon's favourite general solved in Russian discovery https://t.co/taBkUipi8o,0.2732,0.189,0.811,0.0
30,BBCWorld,Thu Nov 07 09:33:52 +0000 2019,North Korean fishermen suspected of killing 16 colleagues before fleeing to South https://t.co/SNK6AAA6bQ,-0.743,0.0,0.636,0.364
31,BBCWorld,Thu Nov 07 08:19:11 +0000 2019,Iran cancels accreditation of IAEA nuclear inspector https://t.co/g5UPqG3cji,-0.2263,0.0,0.787,0.213
32,BBCWorld,Thu Nov 07 07:43:41 +0000 2019,RT @SallyBundockBBC: When did you last go to the movies? On #BBCWorkLife we'll get the inside track from the CEO of #IMAX. With so much cho…,0.0,0.0,1.0,0.0
33,BBCWorld,Thu Nov 07 07:05:40 +0000 2019,'OK boomer': 25-year-old New Zealand MP uses viral term in parliament https://t.co/KEktR0kL60,0.4466,0.211,0.789,0.0
34,BBCWorld,Thu Nov 07 06:47:03 +0000 2019,Nine jailed in China for smuggling fentanyl to US after landmark operation https://t.co/9VavHhvTV9,-0.7184,0.074,0.568,0.358
35,BBCWorld,Thu Nov 07 05:23:13 +0000 2019,Impeachment inquiry: Trump berates Democrats in Louisiana https://t.co/p1rFxDrZHL,0.0,0.0,1.0,0.0
36,BBCWorld,Thu Nov 07 03:57:10 +0000 2019,RT @SallyBundockBBC: A @UN report out today will confirm demand for meat and diary is continuing to grow. There will be another call to mov…,-0.128,0.0,0.939,0.061
37,BBCWorld,Thu Nov 07 01:51:46 +0000 2019,Chile protests: Concerns grow over human rights abuses https://t.co/MET4DkN21n,-0.6705,0.0,0.56,0.44
38,BBCWorld,Thu Nov 07 01:44:37 +0000 2019,The cheap sensor detecting landslides in India https://t.co/Oh7gp1w2fR,0.0,0.0,1.0,0.0
