,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed,Max Temp (Farenheit)
0,nanortalik,61,GL,1572034704,76,60.14,-45.24,1.98,6.49,35.564
1,san patricio,0,PY,1572034704,53,-26.98,-56.83,25.8,2.67,78.44
2,khatanga,99,RU,1572034704,84,71.98,102.47,-10.13,5.44,13.765999999999998
3,canberra,1,AU,1572034704,66,-35.3,149.1,13.33,5.7,55.994
4,kapaa,1,US,1572034704,65,22.08,-159.32,28.0,3.6,82.4
5,zimmi,99,SL,1572034704,97,7.31,-11.31,23.57,1.42,74.426
6,wewak,89,PG,1572034704,88,-3.55,143.63,23.97,3.22,75.146
7,aswan,0,EG,1572034704,34,24.09,32.9,21.06,2.98,69.908
8,krasnogvardeyets,0,RU,1572034705,55,46.16,39.17,13.81,1.6,56.858000000000004
9,cimislia,90,MD,1572034705,100,46.52,28.78,10.0,1.5,50.0
10,wageningen,90,NL,1572034705,77,51.98,5.66,16.11,7.2,60.998000000000005
11,carutapera,60,BR,1572034705,79,-1.2,-46.02,27.88,6.15,82.184
12,lompoc,1,US,1572034705,6,34.64,-120.46,34.44,3.6,93.99199999999999
13,atuona,0,PF,1572034705,70,-9.8,-139.03,26.45,4.81,79.61
14,butaritari,22,KI,1572034705,73,3.07,172.79,28.89,4.16,84.00200000000001
15,busselton,6,AU,1572034705,70,-33.64,115.35,13.89,3.36,57.002
16,bambous virieux,40,MU,1572034872,88,-20.34,57.76,24.0,0.92,75.2
17,hilo,90,US,1572034872,54,19.71,-155.08,29.0,3.1,84.2
18,albany,90,US,1572034872,58,42.65,-73.75,13.89,2.1,57.002
19,iqaluit,90,CA,1572034873,100,63.75,-68.52,1.0,2.6,33.8
20,jamestown,22,AU,1572034873,81,-33.21,138.6,8.6,7.58,47.480000000000004
21,dingle,1,PH,1572034873,90,11.0,122.67,23.66,3.66,74.588
22,jalu,0,LY,1572034873,44,29.03,21.55,20.06,2.81,68.108
23,bonga,13,ET,1572034873,86,7.26,36.25,12.57,0.36,54.626000000000005
24,avarua,98,CK,1572034873,78,-21.21,-159.78,26.0,6.2,78.80000000000001
25,carhuaz,80,PE,1572034873,46,-9.28,-77.65,12.07,2.06,53.726
26,vaini,100,IN,1572034873,97,15.34,74.49,20.47,4.16,68.846
27,cape town,40,ZA,1572034480,93,-33.93,18.42,14.44,1.5,57.992000000000004
28,mataura,0,NZ,1572034873,76,-46.19,168.86,13.33,1.34,55.994
29,half moon bay,1,US,1572034873,28,37.46,-122.43,32.78,2.13,91.004
30,bredasdorp,73,ZA,1572034873,87,-34.53,20.04,12.78,1.5,55.004
31,presidencia roque saenz pena,33,AR,1572034873,41,-26.79,-60.44,28.73,3.52,83.714
32,diffa,27,NE,1572034873,25,13.32,12.61,31.32,1.74,88.376
33,thompson,20,CA,1572034851,71,55.74,-97.86,7.0,3.1,44.6
34,asyut,0,EG,1572034873,41,27.18,31.19,25.0,4.6,77.0
35,ushuaia,75,AR,1572034349,32,-54.81,-68.31,13.0,7.7,55.400000000000006
36,hasaki,40,JP,1572034874,82,35.73,140.83,16.0,3.1,60.8
37,hermanus,100,ZA,1572034874,100,-34.42,19.24,12.78,2.02,55.004
38,buraydah,40,SA,1572034874,42,26.33,43.97,27.0,5.1,80.6
39,nikolskoye,90,RU,1572034874,82,59.7,30.79,13.0,5.0,55.400000000000006
40,grand gaube,40,MU,1572034874,88,-20.01,57.66,24.0,2.23,75.2
41,surovikino,93,RU,1572034874,53,48.61,42.84,13.83,3.51,56.894000000000005
42,provideniya,0,RU,1572034874,76,64.42,-173.23,-9.13,2.64,15.565999999999999
43,hobart,40,AU,1572034633,61,-42.88,147.33,10.0,3.6,50.0
44,rikitea,63,PF,1572034874,85,-23.12,-134.97,22.17,10.91,71.906
45,kysyl-syr,100,RU,1572034874,93,63.9,122.77,-11.3,3.64,11.659999999999997
46,airai,4,TL,1572034874,64,-8.93,125.41,17.91,1.79,64.238
47,dudinka,75,RU,1572034874,85,69.41,86.18,-8.0,7.0,17.6
48,severo-kurilsk,78,RU,1572034874,85,50.68,156.12,0.06,2.94,32.108
49,saint-pierre,40,FR,1572034874,93,48.95,4.24,16.0,6.2,60.8
50,port alfred,100,ZA,1572034874,83,-33.59,26.89,18.33,0.56,64.994
51,kedrovyy,75,RU,1572034875,86,56.17,91.82,-3.0,2.0,26.6
52,dargaville,77,NZ,1572034875,69,-35.94,173.86,13.69,4.86,56.641999999999996
53,pangkalanbuun,62,ID,1572034875,98,-2.68,111.62,23.16,0.37,73.688
54,leningradskiy,99,RU,1572034875,72,69.38,178.42,-6.54,8.13,20.228
55,chickasha,90,US,1572034874,93,35.05,-97.94,6.67,8.7,44.006
56,zlobin,22,HR,1572034875,51,45.29,14.65,17.0,1.0,62.6
57,cabo san lucas,5,MX,1572034600,42,22.89,-109.91,32.78,3.6,91.004
58,sechura,43,PE,1572034875,89,-5.56,-80.82,16.81,9.21,62.257999999999996
59,faanui,0,PF,1572034875,69,-16.48,-151.75,26.16,6.43,79.088
60,bluff,0,AU,1572034875,71,-23.58,149.07,19.0,2.59,66.2
61,srednekolymsk,81,RU,1572034875,99,67.46,153.71,-22.23,1.73,-8.014000000000003
62,chiredzi,72,ZW,1572034875,31,-21.05,31.67,29.19,3.44,84.542
63,chokurdakh,0,RU,1572034875,93,70.62,147.9,-22.23,2.17,-8.014000000000003
64,iguguno,0,TZ,1572034875,66,-4.57,34.63,19.73,4.63,67.51400000000001
65,milledgeville,90,US,1572034875,73,33.08,-83.23,27.22,2.1,80.99600000000001
66,guadalupe,20,MX,1572034727,30,25.68,-100.26,21.0,9.8,69.80000000000001
67,longyearbyen,75,NO,1572034876,79,78.22,15.63,-6.0,3.6,21.2
68,laguna,20,BZ,1572034876,74,16.17,-88.94,30.0,3.1,86.0
69,sheregesh,100,RU,1572034876,97,52.93,87.98,-4.86,2.07,23.252
70,buzmeyin,90,TM,1572034876,36,38.05,58.21,17.0,2.1,62.6
71,mar del plata,67,AR,1572034876,41,-46.43,-67.52,14.38,5.06,57.884
72,mana,64,NG,1572034876,19,13.03,5.27,29.39,2.54,84.902
73,isla aguada,75,MX,1572034876,70,18.78,-91.49,30.0,4.1,86.0
74,kavieng,100,PG,1572034876,71,-2.57,150.8,28.65,2.78,83.57
75,olinda,53,AU,1572034876,71,-37.84,145.39,11.67,7.2,53.006
76,los llanos de aridane,51,ES,1572034876,77,28.66,-17.92,21.67,2.1,71.006
77,tasiilaq,17,GL,1572034876,62,65.61,-37.64,-4.0,6.7,24.8
78,mackay,75,CA,1572034876,86,53.65,-115.58,4.0,7.7,39.2
79,nishihara,1,JP,1572034876,93,35.74,139.53,16.11,2.6,60.998000000000005
80,barry,100,GB,1572034876,93,51.4,-3.27,16.11,8.2,60.998000000000005
81,port blair,2,IN,1572034876,74,11.67,92.75,28.55,3.89,83.39
82,yellowknife,75,CA,1572034671,67,62.45,-114.38,-5.0,8.2,23.0
83,santa teresa,75,BR,1572034877,83,-19.94,-40.6,26.67,4.6,80.006
84,saint-philippe,1,CA,1572034877,70,45.36,-73.48,10.56,3.1,51.008
85,inhambane,99,MZ,1572034877,83,-23.87,35.38,25.06,5.82,77.108
86,fairbanks,75,US,1572034706,74,64.84,-147.72,-1.0,4.1,30.2
87,saint-augustin,1,CA,1572034877,70,45.63,-73.98,10.0,3.1,50.0
88,cherskiy,32,RU,1572034877,88,68.75,161.3,-19.16,4.22,-2.4879999999999995
89,te anau,59,NZ,1572034877,90,-45.41,167.72,10.13,2.67,50.234
90,bethel,90,US,1572034877,92,60.79,-161.76,-1.0,3.1,30.2
91,arinos,78,BR,1572034877,52,-15.92,-46.11,28.62,1.19,83.516
92,cidreira,0,BR,1572034877,67,-30.17,-50.22,19.9,3.29,67.82
93,new norfolk,40,AU,1572034877,57,-42.78,147.06,10.0,4.6,50.0
94,bilaspur,63,IN,1572034877,93,22.08,82.15,20.12,2.38,68.21600000000001
95,kavaratti,25,IN,1572034877,78,10.57,72.64,28.05,9.9,82.49000000000001
96,mehamn,75,NO,1572034877,78,71.03,27.85,2.0,9.8,35.6
97,tura,100,RU,1572034878,88,64.27,100.22,-9.39,1.63,15.097999999999999
98,chuy,0,UY,1572034878,77,-33.69,-53.46,20.93,2.51,69.674
99,mahebourg,40,MU,1572034878,88,-20.41,57.7,24.0,0.69,75.2
100,katsuura,75,JP,1572034878,77,33.93,134.5,20.0,2.6,68.0
101,anchorage,75,US,1572034831,65,61.22,-149.89,6.67,4.1,44.006
102,farah,85,AF,1572034878,24,32.37,62.11,14.84,1.67,58.712
103,vila franca do campo,20,PT,1572034638,94,37.72,-25.43,21.0,3.6,69.80000000000001
104,mumford,99,GH,1572034878,91,5.26,-0.76,24.56,1.4,76.208
105,luderitz,1,NA,1572034878,77,-26.65,15.16,18.0,1.5,64.4
106,saskylakh,0,RU,1572034878,91,71.97,114.09,-15.72,4.98,3.703999999999997
107,muisne,75,EC,1572034878,78,0.61,-80.02,28.0,4.6,82.4
108,manicore,97,BR,1572034878,59,-5.81,-61.3,30.64,0.46,87.152
109,flinders,69,AU,1572034878,43,-34.58,150.85,23.89,8.2,75.00200000000001
110,pundaguitan,57,PH,1572034878,81,6.37,126.17,27.27,4.02,81.086
111,voi,79,KE,1572034878,90,-3.4,38.57,20.53,3.52,68.95400000000001
112,tuktoyaktuk,90,CA,1572034878,79,69.44,-133.03,-7.0,2.6,19.4
113,hambantota,100,LK,1572034878,78,6.12,81.12,27.17,4.94,80.906
114,banikoara,87,BJ,1572034879,46,11.3,2.44,27.04,2.2,80.672
115,alice springs,83,AU,1572034879,19,-23.7,133.88,21.0,3.1,69.80000000000001
116,vetovo,0,HR,1572034879,93,45.42,17.79,13.33,1.5,55.994
117,souillac,12,FR,1572034879,87,45.6,-0.6,15.0,2.6,59.0
118,qaanaaq,100,GL,1572034879,95,77.48,-69.36,-1.42,3.51,29.444
119,puerto ayora,20,EC,1572034879,61,-0.74,-90.35,26.0,5.1,78.80000000000001
120,beloha,0,MG,1572034879,73,-25.17,45.06,23.15,2.11,73.67
121,punta arenas,75,CL,1572034879,28,-53.16,-70.91,14.0,8.2,57.2
122,nakamura,20,JP,1572034879,77,35.17,136.87,19.0,9.3,66.2
123,darovskoy,95,RU,1572034879,93,58.77,47.96,6.12,4.27,43.016
124,iracoubo,40,GF,1572034879,75,5.48,-53.21,28.25,4.64,82.85
125,bayir,0,TR,1572034879,87,37.27,28.22,16.0,2.1,60.8
126,havoysund,75,NO,1572034879,74,71.0,24.66,2.0,10.3,35.6
127,yavaros,0,MX,1572034880,37,26.7,-109.52,34.44,1.34,93.99199999999999
128,dikson,95,RU,1572034880,91,73.51,80.55,-8.58,2.02,16.555999999999997
